id,name,description,category,price,stock,image,videos
"1758664377855","Elvive - Shampoo dream liso","Shampoo Dream Liso Efecto Keratina 400Ml","belleza y salud","7000","1","https://cristianargentina.github.io/assets/img/dreamshampoo.png",""
"1759257775851","Elvive - Acondicionador dream liso","Acondicionador Dream Liso Efecto Keratina 400ml","belleza y salud","7000","1","https://cristianargentina.github.io/assets/img/acondicionadorDreamLiso.png",""
"1759871299740","Placa de sonido USB","Con entrada para auriculares y micrófono","tecnologia","8000","14","https://cristianargentina.github.io/assets/img/placaUsb.png",""
"1759872063777","Set mechas para madera 300mm de largo X3","3 Piezas: 8mm, 10mm, 12mm.","hogar","15000","4","https://cristianargentina.github.io/assets/img/mechas300mm.png",""
"1760987917874","Dermaglós - Protector Solar Fps 50  50ml","Protector Solar Dermaglós Fps 50 Emulsión 50ml","belleza y salud","8000","4","https://cristianargentina.github.io/assets/img/dermaglos50.jpeg",""
"1761854974636","Dove - Shampoo Bond Intense Repair","Shampoo Dove Bond Intense Repair x 200ml","belleza y salud","4000","2","https://cristianargentina.github.io/assets/img/shampoodove.jpg",""
"1761855038822","Dove - Acondicionador Bond Intense Repair","Acondicionador Dove Bond Intense Repair x 250ml","belleza y salud","5000","2","https://cristianargentina.github.io/assets/img/doveacondicionador.jpeg",""
"1762898001551","Dove -  UV Repair and Glow","Oleo Dove Uv Repair x 110ml ","belleza y salud","11000","1","https://cristianargentina.github.io/assets/img/repairdoveuv.webp",""
"1762899574994","Dove - Mascara Capilar Bond Intense Repair","Tratamiento Capilar Dove Bond Intense Repair 250g ","belleza y salud","9000","1","https://cristianargentina.github.io/assets/img/mascaaradoverepair.jpeg",""
"1763398848058","Dermaglós - Protector Solar Fps 50 250ml","Protector Solar Dermaglós Fps 50 x 250ml ","belleza y salud","18000","0","https://cristianargentina.github.io/assets/img/protectorsolar250dermaglos.jpeg",""
"1763398948193","Dermaglós - Gel Post Solar x 50g","Gel Post Solar Dermaglós x 50g","belleza y salud","7000","2","https://cristianargentina.github.io/assets/img/postsolardermaglos.jpeg",""
"1763687120921","Dove - Acondicionador UV Repair & Glow","Acondicionador Dove UV Repair & Glow x 250ml","belleza y salud","6000","1","https://cristianargentina.github.io/assets/img/acondicionadoruvrepair.jpg",""
"1763687310132","Dove - Mascara de Rescate Capilar UV Repair & Glow","Mascara de Rescate Capilar Dove UV Repair & Glow x 250g","belleza y salud","9000","1","https://cristianargentina.github.io/assets/img/mascarauvrepair.jpg",""
"1763687535132"," Dove - Shampoo UV Repair & Glow","
Shampoo Dove UV Repair & Glow x 400ml
","belleza y salud","5000","1","https://cristianargentina.github.io/assets/img/shampoouvrepair.jpg",""
"1764856837044","Dermaglós - Autobronceante Crema Gel","Autobronceante Crema Gel Hidratante x 150g
","belleza y salud","10000","0","https://cristianargentina.github.io/assets/img/autobronceante.jpeg",""
"1767983555438","Dermaglós - Niños, Protector Solar Fps 50 180ml","Protector Solar Fps 50 180ml Piel sensible","belleza y salud","15000","2","https://cristianargentina.github.io/assets/img/ninossolardermaglos.jpg",""
